Neighbourhood;Count
Bijlmer-Centrum;79
Bijlmer-Oost;108
Bos en Lommer;762
Buitenveldert - Zuidas;186
Centrum-Oost;1369
Centrum-West;1984
De Aker - Nieuw Sloten;105
De Baarsjes - Oud-West;2669
De Pijp - Rivierenbuurt;1809
Gaasperdam - Driemond;80
Geuzenveld - Slotermeer;153
IJburg - Zeeburgereiland;279
Noord-Oost;179
Noord-West;217
Oostelijk Havengebied - Indische Buurt;790
Osdorp;128
Oud-Noord;436
Oud-Oost;894
Slotervaart;292
Watergraafsmeer;370
Westerpark;1135
Zuid;1115
